vehicleId 	 tourDuration[s] 	 travelDistance[m] 	 costPerSecond[EUR/s] 	 costPerMeter[EUR/m] 	 fixedCosts[EUR] 	 varCostsTime[EUR] 	 varCostsDist[EUR] 	 totalCosts[EUR]
freight_Liefer-Startup_veh_bayk3_1	58123.0	148487.91003891488	0.004677777777777778	2.19E-4	12.002571	271.88647777777777	32.51885229852236	316.4079010763001
freight_Liefer-Startup_veh_bayk7_5	58345.0	139344.6719754459	0.004677777777777778	2.19E-4	12.002571	272.92494444444446	30.516483162622656	315.4439986070671
freight_Liefer-Startup_veh_bayk2_0	58301.0	155834.91653763124	0.004677777777777778	2.19E-4	12.002571	272.71912222222227	34.12784672174124	318.8495399439635
freight_Liefer-Startup_veh_bayk11_9	45863.0	72067.30252097323	0.004677777777777778	2.19E-4	12.002571	214.53692222222224	15.782739252093139	242.32223247431537
freight_Liefer-Startup_veh_bayk10_8	58259.0	110422.39410860577	0.004677777777777778	2.19E-4	12.002571	272.52265555555556	24.182504309784665	308.70773086534024
freight_Liefer-Startup_veh_bayk9_7	58319.0	113736.65254572209	0.004677777777777778	2.19E-4	12.002571	272.8033222222222	24.90832690751314	309.71422012973534
freight_Liefer-Startup_veh_bayk8_6	58232.0	141727.47444005797	0.004677777777777778	2.19E-4	12.002571	272.3963555555556	31.038316902372696	315.4372434579283
freight_Liefer-Startup_veh_bayk6_4	58493.0	190054.26751818988	0.004677777777777778	2.19E-4	12.002571	273.6172555555556	41.62188458648359	327.24171114203915
freight_Liefer-Startup_veh_bayk5_3	58370.0	178332.48005682585	0.004677777777777778	2.19E-4	12.002571	273.04188888888893	39.05481313244486	324.0992730213338
freight_Liefer-Startup_veh_bayk4_2	58427.0	144666.80490805718	0.004677777777777778	2.19E-4	12.002571	273.3085222222222	31.682030274864523	316.99312349708674
AVERAGE	57073.2	139467.48746504242	-	-	-	266.9757466666667	30.543379754844285	309.52169742151096
TOTAL	570732.0	1394674.874650424	-	-	-	2669.757466666667	305.43379754844284	3095.2169742151095
