vehicleId 	 tourDuration[s] 	 travelDistance[m] 	 costPerSecond[EUR/s] 	 costPerMeter[EUR/m] 	 fixedCosts[EUR] 	 varCostsTime[EUR] 	 varCostsDist[EUR] 	 totalCosts[EUR] 	 SPR
freight_Liefer-Startup_veh_bayk29_27	58445.0	137016.26718765427	0.004677777777777778	2.19E-4	12.002571	273.39272222222223	30.006562514096288	315.4018557363185	null
freight_Liefer-Startup_veh_bayk33_31	57798.0	130620.1214827373	0.004677777777777778	2.19E-4	12.002571	270.3662	28.605806604719472	310.97457760471946	null
freight_Liefer-Startup_veh_bayk18_16	58129.0	153178.4296152153	0.004677777777777778	2.19E-4	12.002571	271.91454444444446	33.54607608573215	317.4631915301766	null
freight_Liefer-Startup_veh_bayk47_45	58208.0	96139.16285340095	0.004677777777777778	2.19E-4	12.002571	272.2840888888889	21.05447666489481	305.3411365537837	null
freight_Liefer-Startup_veh_bayk12_10	58752.0	183259.10748038176	0.004677777777777778	2.19E-4	12.002571	274.8288	40.13374453820361	326.9651155382036	null
freight_Liefer-Startup_veh_bayk16_14	58239.0	162128.2654093551	0.004677777777777778	2.19E-4	12.002571	272.4291	35.50609012464877	319.9377611246488	null
freight_Liefer-Startup_veh_bayk27_25	58587.0	145247.74807109658	0.004677777777777778	2.19E-4	12.002571	274.0569666666667	31.809256827570152	317.86879449423685	null
freight_Liefer-Startup_veh_bayk8_6	57886.0	133106.4109461863	0.004677777777777778	2.19E-4	12.002571	270.77784444444444	29.150303997214802	311.9307194416592	null
freight_Liefer-Startup_veh_bayk36_34	57831.0	141613.55522147883	0.004677777777777778	2.19E-4	12.002571	270.5205666666667	31.013368593503866	313.53650626017054	null
freight_Liefer-Startup_veh_bayk7_5	58007.0	152075.99449547252	0.004677777777777778	2.19E-4	12.002571	271.3438555555556	33.30464279450848	316.65106935006406	null
freight_Liefer-Startup_veh_bayk6_4	57855.0	123592.98147175717	0.004677777777777778	2.19E-4	12.002571	270.63283333333334	27.06686294231482	309.7022672756481	null
freight_Liefer-Startup_veh_bayk14_12	57941.0	154178.54307507677	0.004677777777777778	2.19E-4	12.002571	271.03512222222224	33.765100933441815	316.80279415566406	null
freight_Liefer-Startup_veh_bayk9_7	57760.0	150286.47647402764	0.004677777777777778	2.19E-4	12.002571	270.1884444444445	32.91273834781206	315.10375379225655	null
freight_Liefer-Startup_veh_bayk19_17	57848.0	159034.89198835258	0.004677777777777778	2.19E-4	12.002571	270.60008888888893	34.82864134544922	317.43130123433815	null
freight_Liefer-Startup_veh_bayk11_9	57917.0	127990.570465764	0.004677777777777778	2.19E-4	12.002571	270.9228555555556	28.029934932002316	310.9553614875579	null
freight_Liefer-Startup_veh_bayk21_19	58607.0	166377.44146998646	0.004677777777777778	2.19E-4	12.002571	274.15052222222226	36.43665968192703	322.5897529041493	null
