vehicleId 	 tourDuration[s] 	 travelDistance[m] 	 costPerSecond[EUR/s] 	 costPerMeter[EUR/m] 	 fixedCosts[EUR] 	 varCostsTime[EUR] 	 varCostsDist[EUR] 	 totalCosts[EUR]
freight_Liefer-Startup_veh_bayk14_12	51357.0	35767.415451052824	0.004677777777777778	2.19E-4	12.002571	240.23663333333334	7.833063983780569	260.0722683171139
freight_Liefer-Startup_veh_bayk4_2	57914.0	62601.30201884523	0.004677777777777778	2.19E-4	12.002571	270.9088222222222	13.709685142127105	296.62107836434933
freight_Liefer-Startup_veh_bayk20_18	51598.0	29269.644804268584	0.004677777777777778	2.19E-4	12.002571	241.3639777777778	6.41005221213482	259.7766009899126
freight_Liefer-Startup_veh_bayk21_19	47442.0	48259.73545823869	0.004677777777777778	2.19E-4	12.002571	221.92313333333334	10.568882065354273	244.4945863986876
freight_Liefer-Startup_veh_bayk13_11	55730.0	79297.20463343567	0.004677777777777778	2.19E-4	12.002571	260.6925555555556	17.366087814722412	290.061214370278
freight_Liefer-Startup_veh_bayk12_10	57845.0	65054.795175150066	0.004677777777777778	2.19E-4	12.002571	270.58605555555556	14.247000143357866	296.8356266989134
freight_Liefer-Startup_veh_bayk11_9	55893.0	65545.43765889533	0.004677777777777778	2.19E-4	12.002571	261.45503333333335	14.354450847298079	287.81205518063143
freight_Liefer-Startup_veh_bayk10_8	57868.0	92726.28732954268	0.004677777777777778	2.19E-4	12.002571	270.6936444444445	20.30705692516985	303.0032723696143
freight_Liefer-Startup_veh_bayk3_1	57798.0	114393.08754756674	0.004677777777777778	2.19E-4	12.002571	270.3662	25.052086172917118	307.4208571729171
freight_Liefer-Startup_veh_bayk2_0	58056.0	113975.8918198995	0.004677777777777778	2.19E-4	12.002571	271.5730666666667	24.960720308557992	308.5363579752247
freight_Liefer-Startup_veh_bayk9_7	53318.0	67305.13397746222	0.004677777777777778	2.19E-4	12.002571	249.40975555555556	14.739824341064226	276.1521508966198
freight_Liefer-Startup_veh_bayk8_6	56055.0	68576.05450630767	0.004677777777777778	2.19E-4	12.002571	262.2128333333334	15.018155936881382	289.23356027021475
freight_Liefer-Startup_veh_bayk7_5	57811.0	67372.9935235805	0.004677777777777778	2.19E-4	12.002571	270.42701111111114	14.75468558166413	297.1842676927753
freight_Liefer-Startup_veh_bayk6_4	51836.0	77842.93102403998	0.004677777777777778	2.19E-4	12.002571	242.4772888888889	17.047601894264755	271.5274617831536
freight_Liefer-Startup_veh_bayk5_3	53877.0	64469.99347887089	0.004677777777777778	2.19E-4	12.002571	252.02463333333336	14.118928571872726	278.1461329052061
freight_Liefer-Startup_veh_bayk19_17	50706.0	48504.06163092608	0.004677777777777778	2.19E-4	12.002571	237.19140000000002	10.622389497172811	259.8163604971728
freight_Liefer-Startup_veh_bayk18_16	50898.0	46943.59655383871	0.004677777777777778	2.19E-4	12.002571	238.08953333333335	10.280647645290678	260.372751978624
freight_Liefer-Startup_veh_bayk17_15	57738.0	73423.84491822674	0.004677777777777778	2.19E-4	12.002571	270.08553333333333	16.079822037091656	298.167926370425
freight_Liefer-Startup_veh_bayk16_14	53456.0	66850.14707350676	0.004677777777777778	2.19E-4	12.002571	250.0552888888889	14.640182209097981	276.6980420979869
freight_Liefer-Startup_veh_bayk15_13	53305.0	69683.1567191324	0.004677777777777778	2.19E-4	12.002571	249.34894444444447	15.260611321489996	276.6121267659345
AVERAGE	54525.05	67893.13576513938	-	-	-	255.05606722222228	14.868596732565521	281.92723495478776
TOTAL	1090501.0	1357862.7153027875	-	-	-	5101.121344444446	297.3719346513104	5638.544699095755
